Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.936389146141046, 2.363640702197924;"{""coordinates"": [2.363640702197924, 48.936389146141046], ""type"": ""Point""}";187.0;Cimetière de Saint-Denis;Cimetière de Saint-Denis;Sous-Préfecture;;72322.0;Cimetière de Saint-Denis;46327.0;Cimetière de Saint-Denis;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1.0;0.0;653379.9447000027;6870900.622499999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Cimetière de Saint-Denis
48.90041730314525, 2.4654604813583543;"{""coordinates"": [2.465460481358354, 48.90041730314525], ""type"": ""Point""}";972.0;Petit Noisy;Petit Noisy;;;72438.0;Petit Noisy;44325.0;Petit Noisy;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1.0;0.0;660812.117899999;6866845.293499999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Petit Noisy
48.7807309682292, 2.2398320176249893;"{""coordinates"": [2.239832017624989, 48.7807309682292], ""type"": ""Point""}";1168.0;Pavé Blanc;Pavé Blanc;Parc Novéos;;70049.0;Pavé Blanc;44300.0;Pavé Blanc;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02149;C01794;TRAM 6;6;TRAM 6;RATP;1.0;0.0;644143.2801999971;6853673.183499999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;Pavé Blanc
48.91778372433478, 2.4176910933379756;"{""coordinates"": [2.417691093337976, 48.91778372433478], ""type"": ""Point""}";243.0;Drancy-Avenir;Drancy-Avenir;;;72549.0;Clovis / Drancy - Avenir;42866.0;Drancy - Avenir;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1.0;0.0;657324.375500001;6868801.1591;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Drancy-Avenir
48.82901050277354, 2.22531285326707;"{""coordinates"": [2.22531285326707, 48.82901050277354], ""type"": ""Point""}";575.0;Musée de Sèvres;Musée de Sèvres;;;70692.0;Musée de Sèvres;44189.0;Musée de Sèvres;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01192;C01390;TRAM 2;2;TRAM 2;RATP;1.0;0.0;643129.119599998;6859051.489700001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;Musée de Sèvres
48.902768024633616, 2.2395420349525788;"{""coordinates"": [2.239542034952579, 48.902768024633616], ""type"": ""Point""}";1087.0;Les Fauvelles;Les Fauvelles;;;72099.0;Les Fauvelles;43729.0;Les Fauvelles;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01192;C01390;TRAM 2;2;TRAM 2;RATP;1.0;0.0;644252.6560999975;6867242.4932;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;Les Fauvelles
48.78496976234392, 2.2200095168565332;"{""coordinates"": [2.220009516856533, 48.78496976234392], ""type"": ""Point""}";1172.0;Vélizy 2;Vélizy 2;;;420144.0;Vélizy 2 (Nord) / Europe Nord;59053.0;Vélizy 2;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02149;C01794;TRAM 6;6;TRAM 6;RATP;1.0;0.0;642691.4360999987;6854158.667300001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;Vélizy 2
48.86038127827736, 2.3148907300588806;"{""coordinates"": [2.314890730058881, 48.86038127827736], ""type"": ""Point""}";363.0;Invalides;Invalides;;;71274.0;Invalides;473381.0;Invalides (r. Esnault-Pelterie);0.0;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;C01378;METRO 8;8;METRO 8;RATP;1.0;0.0;649735.2475000024;6862478.808499999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Invalides
49.01768620872899, 2.090181620991014;"{""coordinates"": [2.090181620991014, 49.01768620872899], ""type"": ""Point""}";263.0;Éragny-Neuville;Éragny-Neuville;;;66484.0;Éragny - Neuville;43079.0;Éragny - Neuville;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01852;C01739;TRAIN J;J;TRAIN J;SNCF;1.0;0.0;633451.0930000022;6880136.993799999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751;Éragny-Neuville
48.44267432506247, 2.7607175073524735;"{""coordinates"": [2.760717507352473, 48.44267432506247], ""type"": ""Point""}";347.0;Héricy;Héricy;;;61658.0;Héricy;47145.0;Héricy;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01845;C01731;TRAIN R;R;TRAIN R;SNCF;1.0;0.0;682303.5243000016;6815848.792199999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/4ddabed87b80181debb386c00af5d5bb;Héricy
48.990313582981926, 2.2632853539998323;"{""coordinates"": [2.263285353999832, 48.990313582981926], ""type"": ""Point""}";264.0;Ermont-Halte;Ermont-Halte;;;65910.0;Ermont Halte;47920.0;Ermont Halte;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;646084.0;6876961.0;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Ermont-Halte
48.58676705767594, 1.5926685170022563;"{""coordinates"": [1.592668517002256, 48.58676705767594], ""type"": ""Point""}";1027.0;Maintenon;Maintenon;;;74349.0;Maintenon;59302.0;Maintenon;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;NR;NR;GL;GL;GL;SNCF;0.0;0.0;596209.6235999987;6832764.682500001;;Maintenon
48.198362341376935, 3.2673712003347655;"{""coordinates"": [3.267371200334765, 48.198362341376935], ""type"": ""Point""}";1037.0;Sens;Sens;;;411453.0;Sens;411452.0;Sens;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;NR;NR;GL;GL;GL;SNCF;0.0;0.0;719865.7545000017;6788701.194800001;;Sens
48.085368309535625, 3.2866533026544835;"{""coordinates"": [3.286653302654484, 48.085368309535625], ""type"": ""Point""}";1042.0;Villeneuve-sur-Yonne;Villeneuve-sur-Yonne;;;411477.0;Villeneuve-sur-Yonne;411476.0;Villeneuve-sur-Yonne;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;NR;NR;GL;GL;GL;SNCF;0.0;0.0;721344.0;6776149.0;;Villeneuve-sur-Yonne
